-29.99 841.05
-29.89 865.96
-29.70 990.15
-29.41 840.69
-28.99 932.92
-28.51 842.42
-27.91 800.76
-27.20 749.34
-26.40 738.79
-25.51 606.73
-24.51 513.44
-23.41 509.31
-22.19 446.68
-20.89 443.16
-19.49 198.25
-18.01 222.13
-16.39 173.44
-14.70 152.91
-12.91 -43.22
-11.01 15.22
-9.00 -204.11
-6.89 -185.82
-4.71 -202.75
-2.40 -325.48
0.00 -314.44
2.51 -283.98
5.09 -283.92
7.80 -243.62
10.61 -372.61
13.49 -327.59
16.51 -171.49
19.60 -153.45
22.79 -21.15
26.11 188.69
29.51 253.65
33.00 331.79
36.60 620.08
40.29 860.62
44.10 1181.06
47.99 1480.55
