10.01 48.68
10.12 49.13
10.35 48.71
10.71 58.14
11.19 64.58
11.79 57.96
12.51 77.94
13.36 72.88
14.32 59.78
15.39 79.45
16.61 79.17
17.93 93.14
19.35 80.83
20.93 98.29
22.59 95.91
24.40 115.99
26.31 124.40
28.35 107.58
30.52 118.03
32.81 119.69
35.20 142.72
37.72 159.80
40.36 154.64
43.12 149.27
46.01 162.54
49.01 187.31
52.12 195.58
55.37 198.73
58.71 213.53
62.21 231.95
65.81 224.60
69.51 247.79
73.37 266.27
77.31 263.64
81.40 279.79
85.59 281.67
89.93 320.66
94.36 326.63
98.92 340.27
103.61 367.37
